days_ago,amount,merchant,account,category,detailed,tags
205,5.99,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
214,6.72,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
223,7.01,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
228,7.03,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
237,7.03,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
244,6.03,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
251,6.33,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
260,6.63,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
268,5.99,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
276,7.02,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
282,6.75,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
289,6.52,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
299,6.04,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
306,6.58,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
314,6.42,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
321,6.30,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
328,6.29,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
337,6.25,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
343,6.91,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
352,7.09,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
360,6.42,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
366,6.26,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
373,6.74,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
381,6.84,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
390,6.01,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
397,6.89,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
403,7.07,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
411,6.75,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
421,6.17,Blue Bottle Coffee,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,coffee
2,13.11,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
10,12.56,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
17,13.64,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
25,12.94,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
31,13.58,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
41,12.92,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
49,13.06,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
54,14.10,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
63,12.22,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
71,13.60,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
79,14.20,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
85,13.53,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
93,12.60,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
100,13.75,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
110,12.84,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
115,12.94,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
123,12.69,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
132,13.46,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
140,12.56,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
146,13.43,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
153,13.07,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
162,13.12,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
170,13.08,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
177,14.17,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
184,13.29,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
192,13.40,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
200,12.72,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
206,12.86,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
214,13.67,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
222,12.57,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
231,12.89,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
237,12.89,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
245,13.47,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
252,13.26,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
261,13.77,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
269,13.99,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
276,12.54,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
285,13.36,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
292,14.17,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
299,12.52,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
306,13.98,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
313,13.06,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
322,14.37,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
329,14.09,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
338,13.84,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
343,12.35,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
351,13.31,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
361,13.87,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
368,14.00,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
375,14.04,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
384,13.52,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
390,13.18,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
399,13.70,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
405,14.26,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
413,12.92,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
422,12.53,Sweetgreen,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,lunch
42,95.00,Nike,sofi2,shopping,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,apparel|sneakers
70,120.00,Blundstone,sofi2,shopping,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,apparel|boots
49,85.00,Ticketmaster,sofi2,entertainment,ENTERTAINMENT_MUSIC_AND_AUDIO,tickets
22,52.00,Sunset Cinema,sofi2,entertainment,ENTERTAINMENT_MUSIC_AND_AUDIO,tickets
157,380.00,JetBlue,csp,travel,TRAVEL_FLIGHTS,trip|flight
124,206.00,Airbnb,csp,travel,TRAVEL_FLIGHTS,trip|stay
122,36.84,Schwartz's,csp,dining,FOOD_AND_DRINK_RESTAURANT,trip|food
121,25.42,Olive et Gourmando,csp,dining,FOOD_AND_DRINK_RESTAURANT,trip|food
120,27.59,Joe Beef,csp,dining,FOOD_AND_DRINK_RESTAURANT,trip|food
119,46.15,La Banquise,csp,dining,FOOD_AND_DRINK_RESTAURANT,trip|food
122,23.93,STM Métro,csp,transport,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,trip|local
121,27.65,Bixi,csp,transport,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,trip|local
120,26.41,Uber,csp,transport,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,trip|local
425,12.94,El Jefe's Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
424,12.53,Neptune Oyster,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
424,8.48,Row 34,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
423,15.10,Row 34,csp,dining,FOOD_AND_DRINK_RESTAURANT,
422,12.80,Pho Pasteur,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
421,8.48,El Pelón Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
420,27.27,El Jefe's Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
419,8.17,Life Alive,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
418,11.43,Mei Mei,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
418,16.04,Pho Pasteur,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
416,22.28,Clover Food Lab,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
415,15.61,Life Alive,csp,dining,FOOD_AND_DRINK_RESTAURANT,
415,8.72,Pho Pasteur,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
414,8.01,Mei Mei,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
413,19.32,Row 34,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
412,7.93,Dumpling House,csp,dining,FOOD_AND_DRINK_RESTAURANT,
411,9.98,Life Alive,csp,dining,FOOD_AND_DRINK_RESTAURANT,
410,8.99,El Pelón Taqueria,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
410,9.73,Row 34,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
408,30.25,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
407,24.66,Neptune Oyster,csp,dining,FOOD_AND_DRINK_RESTAURANT,
405,22.28,Row 34,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
403,15.76,Row 34,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
402,32.65,Bon Me,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
400,18.10,Clover Food Lab,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
399,11.74,Pavement Coffeehouse,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
397,27.68,Dumpling House,csp,dining,FOOD_AND_DRINK_RESTAURANT,
395,15.17,Life Alive,csp,dining,FOOD_AND_DRINK_RESTAURANT,
394,27.14,Clover Food Lab,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
393,10.02,El Pelón Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
393,9.85,Flour Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
392,21.83,Bon Me,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
389,26.22,Pavement Coffeehouse,csp,dining,FOOD_AND_DRINK_RESTAURANT,
388,13.59,Pho Pasteur,csp,dining,FOOD_AND_DRINK_RESTAURANT,
387,28.28,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
386,12.92,Flour Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
385,14.76,Toro,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
384,8.16,Pho Pasteur,csp,dining,FOOD_AND_DRINK_RESTAURANT,
383,25.42,Life Alive,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
382,8.10,Toro,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
381,20.43,Mei Mei,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
380,17.92,Pavement Coffeehouse,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
379,10.96,Pho Pasteur,csp,dining,FOOD_AND_DRINK_RESTAURANT,
379,9.39,El Jefe's Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
378,9.65,Bon Me,csp,dining,FOOD_AND_DRINK_RESTAURANT,
378,14.00,Flour Bakery,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
377,23.52,Clover Food Lab,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
376,8.27,Toro,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
375,10.88,Mei Mei,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
373,32.95,Flour Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
372,10.90,Clover Food Lab,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
371,21.70,Life Alive,csp,dining,FOOD_AND_DRINK_RESTAURANT,
370,8.99,Bon Me,csp,dining,FOOD_AND_DRINK_RESTAURANT,
370,8.41,Pho Pasteur,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
369,12.67,Pavement Coffeehouse,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
368,14.14,El Pelón Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
368,8.46,Row 34,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
367,9.01,Bon Me,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
366,8.39,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
366,15.79,Tatte Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
365,14.87,Bon Me,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
364,31.32,Flour Bakery,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
363,7.98,Neptune Oyster,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
361,22.70,Mei Mei,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
360,13.22,Tatte Bakery,csp,dining,FOOD_AND_DRINK_RESTAURANT,
359,14.49,Tatte Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
358,8.12,Pho Pasteur,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
358,9.06,El Jefe's Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
357,17.72,El Jefe's Taqueria,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
357,8.56,El Pelón Taqueria,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
356,10.98,Tatte Bakery,csp,dining,FOOD_AND_DRINK_RESTAURANT,
355,22.75,El Jefe's Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
354,9.54,El Jefe's Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
353,26.87,Dumpling House,csp,dining,FOOD_AND_DRINK_RESTAURANT,
352,9.53,Row 34,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
351,19.23,Toro,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
350,22.78,Clover Food Lab,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
349,7.99,Flour Bakery,csp,dining,FOOD_AND_DRINK_RESTAURANT,
348,13.84,Row 34,csp,dining,FOOD_AND_DRINK_RESTAURANT,
348,13.10,Flour Bakery,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
347,20.72,Toro,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
346,8.78,Dumpling House,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
345,30.05,Mei Mei,csp,dining,FOOD_AND_DRINK_RESTAURANT,
343,28.71,El Jefe's Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
341,16.14,El Jefe's Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
341,13.52,Bon Me,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
340,20.96,Flour Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
338,25.63,El Jefe's Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
336,29.08,Toro,csp,dining,FOOD_AND_DRINK_RESTAURANT,
335,13.97,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
334,17.42,Life Alive,csp,dining,FOOD_AND_DRINK_RESTAURANT,
333,32.64,El Pelón Taqueria,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
331,24.73,El Pelón Taqueria,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
330,8.57,Pho Pasteur,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
330,7.95,El Jefe's Taqueria,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
329,19.69,Bon Me,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
327,25.95,El Jefe's Taqueria,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
326,18.89,Mei Mei,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
325,11.50,Bon Me,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
324,8.41,Mei Mei,csp,dining,FOOD_AND_DRINK_RESTAURANT,
324,11.49,Flour Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
323,12.20,Life Alive,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
323,7.93,Clover Food Lab,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
322,9.57,Flour Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
321,13.48,Dumpling House,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
320,18.09,Neptune Oyster,csp,dining,FOOD_AND_DRINK_RESTAURANT,
319,15.07,El Pelón Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
318,16.94,Pho Pasteur,csp,dining,FOOD_AND_DRINK_RESTAURANT,
317,24.07,El Jefe's Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
316,25.71,Dumpling House,csp,dining,FOOD_AND_DRINK_RESTAURANT,
315,8.65,El Pelón Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
314,19.70,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
312,15.54,Flour Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
311,23.11,Toro,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
310,8.15,Pavement Coffeehouse,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
310,7.95,Row 34,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
309,22.09,Flour Bakery,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
308,12.12,Life Alive,csp,dining,FOOD_AND_DRINK_RESTAURANT,
308,8.92,Bon Me,csp,dining,FOOD_AND_DRINK_RESTAURANT,
307,7.98,Flour Bakery,csp,dining,FOOD_AND_DRINK_RESTAURANT,
306,26.40,Flour Bakery,csp,dining,FOOD_AND_DRINK_RESTAURANT,
304,16.75,Dumpling House,csp,dining,FOOD_AND_DRINK_RESTAURANT,
303,8.89,Pho Pasteur,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
303,21.62,Mei Mei,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
301,30.63,El Jefe's Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
300,10.84,Clover Food Lab,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
298,28.19,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
296,29.02,Row 34,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
295,9.31,Tatte Bakery,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
294,32.56,Row 34,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
293,7.93,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
292,32.87,Mei Mei,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
290,9.20,El Pelón Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
289,14.62,Dumpling House,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
289,10.03,El Pelón Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
288,10.47,Row 34,csp,dining,FOOD_AND_DRINK_RESTAURANT,
287,13.00,Tatte Bakery,csp,dining,FOOD_AND_DRINK_RESTAURANT,
286,28.58,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
284,28.07,Flour Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
283,12.95,Flour Bakery,csp,dining,FOOD_AND_DRINK_RESTAURANT,
282,16.75,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
281,12.18,Tatte Bakery,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
280,20.79,Dumpling House,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
279,7.93,Pho Pasteur,csp,dining,FOOD_AND_DRINK_RESTAURANT,
279,9.94,Toro,csp,dining,FOOD_AND_DRINK_RESTAURANT,
278,20.41,Pho Pasteur,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
277,9.10,Mei Mei,csp,dining,FOOD_AND_DRINK_RESTAURANT,
276,10.87,Neptune Oyster,csp,dining,FOOD_AND_DRINK_RESTAURANT,
275,13.50,Life Alive,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
274,8.93,Neptune Oyster,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
273,26.73,El Pelón Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
272,8.69,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
271,22.35,El Pelón Taqueria,csp,dining,FOOD_AND_DRINK_RESTAURANT,
270,11.53,Tatte Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
269,16.31,Tatte Bakery,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
267,26.68,Pho Pasteur,csp,dining,FOOD_AND_DRINK_RESTAURANT,
266,14.89,Flour Bakery,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
265,14.98,Clover Food Lab,csp,dining,FOOD_AND_DRINK_RESTAURANT,
264,28.63,Pavement Coffeehouse,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
263,9.21,Pavement Coffeehouse,csp,dining,FOOD_AND_DRINK_RESTAURANT,
262,20.54,Row 34,csp,dining,FOOD_AND_DRINK_RESTAURANT,
261,10.61,Dumpling House,csp,dining,FOOD_AND_DRINK_RESTAURANT,
260,18.53,Pavement Coffeehouse,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
259,9.37,Flour Bakery,csp,dining,FOOD_AND_DRINK_RESTAURANT,
258,14.73,Bon Me,csp,dining,FOOD_AND_DRINK_RESTAURANT,
257,12.18,El Pelón Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
256,12.62,Toro,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
256,7.98,Pho Pasteur,csp,dining,FOOD_AND_DRINK_RESTAURANT,
255,22.88,Row 34,csp,dining,FOOD_AND_DRINK_RESTAURANT,
254,11.59,El Pelón Taqueria,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
253,12.83,Neptune Oyster,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
253,10.09,Flour Bakery,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
252,8.24,Life Alive,csp,dining,FOOD_AND_DRINK_RESTAURANT,
251,8.28,El Pelón Taqueria,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
250,22.36,Flour Bakery,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
249,17.72,Pavement Coffeehouse,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
247,26.04,Mei Mei,sofi2,dining,FOOD_AND_DRINK_RESTAURANT,
246,13.11,Dumpling House,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
245,11.90,Toro,csp,dining,FOOD_AND_DRINK_RESTAURANT,
244,13.85,Dumpling House,amexgold,dining,FOOD_AND_DRINK_RESTAURANT,
